id,name,link,amount,sale_amount,brand
237821,"Чай черный Yantra Orange Pekoe A крупнолистовой, 100г",https://online.metro-cc.ru/products/chay-chernyy-yantra-orange-pekoe-a-krupnolistovoy-100g,209 rub,229 rub,YANTRA
237820,"Чай черный Yantra Classic Деликатный бергамот, 100г",https://online.metro-cc.ru/products/chay-chernyy-yantra-classic-delikatnyy-bergamot-100g,249 rub,299 rub,YANTRA
393832,"Чай Greenfield Golden Ceylon черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-golden-ceylon-100x2g,359 rub,262 rub,GREENFIELD
426130,"Чай Greenfield Earl Grey Fantasy черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-earl-grey-fantasy-100x2g,359 rub,249 rub,GREENFIELD
539331,"Чай Richard Royal Ceylon черный байховый (2г х 100шт), 200г",https://online.metro-cc.ru/products/richard-chernyj-bajhovyj-royl-ceylon-v-sashe-100-2g,229 rub,199 rub,RICHARD
457305,"Чай Greenfield Kenyan Sunrise черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-100x2g,359 rub,249 rub,GREENFIELD
457282,"Чай Tess Pleasure Шиповник и яблоко черный байховый (1.5г х 100шт), 150г",https://online.metro-cc.ru/products/tess-chernyj-bajhovyj-shipovnik-yabloko-pleasure-100-15g,249 rub,205 rub,TESS
578790,"Чай Азерчай Букет черный байховый, 400г",https://online.metro-cc.ru/products/art_578790,449 rub,429 rub,АЗЕРЧАЙ
457345,"Чай Tess Sunrise цейлонский черный (1.8г х 100шт), 180г",https://online.metro-cc.ru/products/tess-chernyj-cejlonskij-sunrise-100x18g,249 rub,205 rub,TESS
532147,"Чай Greenfield Spring Melody (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/greenfield-spring-melody-100-h-15-g,359 rub,249 rub,GREENFIELD
583705,"Чай Ahmad Tea Classic black Tea черный листовой классический, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-listovoj-klassicheskij-classic-black-tea-200g,229 rub,185 rub,AHMAD TEA
468922,"Чай Ahmad Tea Earl Grey черный листовой со вкусом и ароматом бергамота, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-earl-grey-200g-468922,299 rub,243 rub,AHMAD TEA
532198,"RIOBA Чай черный с чабрецом (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-chernyj-s-chabrecom-20x2g,239 rub,299 rub,RIOBA
599475,"Чай Richard Royal Ceylon черный крупнолистовой, 180г",https://online.metro-cc.ru/products/richard-royal-ceylon-chernyj-180g,199 rub,299 rub,RICHARD
395515,"Чай Майский Корона Российской Империи черный цейлонский крупнолистовой, 200г",https://online.metro-cc.ru/products/majskij-chernyj-korona-rossijskoj-imperii-200g,158 rub,219 rub,МАЙСКИЙ
544482,"RIOBA Чай черный листовой Английский Завтрак, 400г",https://online.metro-cc.ru/products/rioba-chernyj-anglijskij-zavtrak-400g,489 rub,539 rub,RIOBA
599476,"Чай Richard Lord Grey черный байховый (2г х 100шт), 200г",https://online.metro-cc.ru/products/richard-chernyj-bajhovyj-lord-grey-100-pak,229 rub,199 rub,RICHARD
634080,"Чай Akbar Золотой крупно-листовой, 250г",https://online.metro-cc.ru/products/art_634080,309 rub,289 rub,AKBAR
469147,"Чай Greenfield Earl Grey Fantasy черный (2г х 25 пак), 50г",https://online.metro-cc.ru/products/greenfield-chernyj-cejlonskij-bajhovyj-s-aromatom-bergamota-earl-grey-fantasy-sashe-25-2g,89 rub,71 rub,GREENFIELD
633256,"Чай Greenfield English Edition цейлонский черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-cejlonskij-english-edition-100x2g,359 rub,249 rub,GREENFIELD
406037,"RIOBA Чай черный Ассам (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-chernyj-assam-20x2g,209 rub,259 rub,RIOBA
314845,"Чай Akbar Gold черный цейлонский листовой, 250г",https://online.metro-cc.ru/products/akbar-chernyj-bajhovyj-cejlonskij-gold-250g,329 rub,299 rub,AKBAR
641402,"RIOBA Чай черный листовой с Чабрецом, 400г",https://online.metro-cc.ru/products/rioba-chernyj-listovoj-s-chabrecom-400g,379 rub,419 rub,RIOBA
393864,"Чай Greenfield Golden Ceylon черный, 200г",https://online.metro-cc.ru/products/greenfield-golden-ceylon-200g,289 rub,205 rub,GREENFIELD
524035,"Чай Basilur Ceylon черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/basilur-ceylon-100h2-g,569 rub,519 rub,BASILUR
624919,"Чай Richard Royal English Breakfast черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/chernyj-richard-royal-english-breakfast-100x2g,229 rub,199 rub,RICHARD
208705,"Чай Азерчай черный букет (2г x 100шт), 200г",https://online.metro-cc.ru/products/100h2g-chay-azerchay-chyornyy-buket-paketirovannyy,209 rub,189 rub,АЗЕРЧАЙ
494566,"Чай Greenfield Classic Breakfast черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-slassic-breakfast-100x2g,359 rub,249 rub,GREENFIELD
207125,"Чай Akbar черный яблоко-шиповник (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/100h15g-chay-akbar-chyornyy-yablokoshipovnik-pak,239 rub,209 rub,AKBAR
120706,"Чай Азерчай Букет черный байховый, 100г",https://online.metro-cc.ru/products/100g-azerchaj-buket-chern-bajhovyj-kar-up,125 rub,109 rub,АЗЕРЧАЙ
544483,"RIOBA Чай черный листовой Эрл Грей, 400г",https://online.metro-cc.ru/products/rioba-chernyj-erl-grej-400g,489 rub,539 rub,RIOBA
495163,"RIOBA Чай черный для заваривания в чайнике С чабрецом (5г х 20шт), 100г",https://online.metro-cc.ru/products/rioba-chernyj-dlya-zavarivaniya-v-chajnike-s-chabrecom-20x5g,349 rub,429 rub,RIOBA
250785,"Чай Akbar Mountain Fresh черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/akbar-chernyj-mountain-fresh-100-2g,218 rub,189 rub,AKBAR
117264,"aro Чай черный пакетированный (1.8г х 1000шт), 1.8кг",https://online.metro-cc.ru/products/1000x18g-aro-chernyj-pak,1 139 rub,1 090 rub,ARO
468829,"Чай Greenfield Golden Ceylon черный (2г х 25 пак), 50г",https://online.metro-cc.ru/products/greenfield-chernyj-golden-ceylon-25x2g,94 rub,74 rub,GREENFIELD
225337,"Чай черный Richman Earl Grey крупный лист, 100г",https://online.metro-cc.ru/products/100g-chay-chernyy-richman-erl-grey-krupnyy-list,179 rub,169 rub,RICHMAN
626078,"Чай Tess Thyme черный с чабрецом и цедрой лимона (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/tess-chernyj-s-chabrecom-cedroj-limona-thyme-100-15g,249 rub,205 rub,TESS
656215,"RIOBA Чай черный Брусничный (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-chernyj-brusnichnyj-20x2g,239 rub,289 rub,RIOBA
405468,"RIOBA Чай черный Эрл Грей (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-chernyj-erl-grej-20x2g,209 rub,259 rub,RIOBA
58918,"Чай Curtis Blue Berries Blues черный в пирамидках (1.8г x 20шт), 36г",https://online.metro-cc.ru/products/chernyj-curtis-blue-berries-blues-piramidki-20x18g,68 rub,139 rub,CURTIS
468914,"Чай Ahmad Tea Ceylon Tea Orange Pekoe черный листовой, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-bajhovyj-cejlonskij-orange-pekoe-200g,299 rub,243 rub,AHMAD TEA
207124,"Чай Akbar черный малина-черника (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/100h15g-chay-akbar-chyornyy-malinachernika-pak,239 rub,209 rub,AKBAR
578785,"Чай Азерчай черный листовой с чабрецом, 100г",https://online.metro-cc.ru/products/art_578785,129 rub,109 rub,АЗЕРЧАЙ
642426,"RIOBA Чай черный Английский завтрак (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-chernyj-anglijskij-zavtrak-20x2g,239 rub,289 rub,RIOBA
632941,"Чай Tess Kenya черный байховый (2г x 100шт), 200г",https://online.metro-cc.ru/products/tess-kenya-chernyj-bajhovyj-100-2g,249 rub,205 rub,TESS
147695,"Чай Greenfield Kenyan Sunrise черный байховый (2г х 25 пак), 50г",https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-25x2g,89 rub,71 rub,GREENFIELD
239373,"Чай черный Curtis Elegant Earl Grey пакетированный (1.7г x 100шт), 170г",https://online.metro-cc.ru/products/100shth17g-chay-chyornyy-curtis-elegant-earl-grey-paketirovan,249 rub,214 rub,CURTIS
208707,"Чай Азерчай черный листовой, 200г",https://online.metro-cc.ru/products/200g-chay-azerchay-chyornyy-listovoy,229 rub,209 rub,АЗЕРЧАЙ
539426,"Чай Curtis Sunny Lemon черный ароматизированный (1.7г х 20шт), 34г",https://online.metro-cc.ru/products/curtis-sunny-lemon-chernyj-20-17g,68 rub,139 rub,CURTIS
426135,"Чай Greenfield Earl Grey Fantasy черный, 200г",https://online.metro-cc.ru/products/greenfield-chernyj-earl-grey-fantasy-200g,289 rub,188 rub,GREENFIELD
225339,"Чай черный Richman бергамот, 40г",https://online.metro-cc.ru/products/40g-chay-chernyy-richman-bergamot,129 rub,139 rub,RICHMAN
121240,"Чай Curtis Delicate Black черный мелколистовой (1.7г х 100шт), 170г",https://online.metro-cc.ru/products/100h17g-curtis-delicate-black,249 rub,214 rub,CURTIS
239369,"Чай черный Curtis Elegant Earl Grey пакетированный (1.7г x 25шт), 42.5г",https://online.metro-cc.ru/products/25shth17g-chay-chyornyy-curtis-elegant-earl-grey-paketirovan,79 rub,79 rub,CURTIS
633259,"Чай Greenfield Grand Fruit черный (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/greenfield-chernyj-s-aromatom-granata-rastitelnymi-komponentami-grand-fruit-25-pak,89 rub,71 rub,GREENFIELD
204643,"Чай Richard Royal Blackcurrant & Golden Apple (1.7г x 25шт), 43г",https://online.metro-cc.ru/products/25h17g-chay-richard-smorodina-yabloko-paketirovannyy,99 rub,69 rub,RICHARD
514694,"Чай Ahmad Tea English Breakfast черный листовой, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-english-breakfast-200g,299 rub,243 rub,AHMAD TEA
539333,"Чай Richard Lord Grey черный байховый в саше (2г х 25шт), 50г",https://online.metro-cc.ru/products/richard-chernyj-bajhovyj-lord-grey-v-sashe-25-pak,99 rub,69 rub,RICHARD
456293,"Чай Curtis Isabella Grape черный пирамидки (1.8г x 20шт), 36г",https://online.metro-cc.ru/products/chernyj-curtis-isabella-grape-piramidki-20x18g,68 rub,139 rub,CURTIS
395535,"Чай Майский Цейлон черный отборный (2г x 100шт), 200г",https://online.metro-cc.ru/products/majskij-chernyj-otbornyj-cejlon-100x2g,169 rub,189 rub,МАЙСКИЙ
121242,"Чай Richard Lord Grey черный листовой с добавками, 180г",https://online.metro-cc.ru/products/180g-richard-lord-grey,199 rub,299 rub,RICHARD
241445,"Чай черный Newby с чабрецом листовой, 100г",https://online.metro-cc.ru/products/chay-chernyy-newby-s-chabretsom-listovoy-100g,1 099 rub,949 rub,NEWBY
495168,"RIOBA Чай черный для заваривания в чайнике Эрл Грей (5г х 20шт), 100г",https://online.metro-cc.ru/products/rioba-chernyj-dlya-zavarivaniya-v-chajnike-erl-grej-20x5g,349 rub,429 rub,RIOBA
495160,"RIOBA Чай черный для заваривания в чайнике Английский завтрак (5г х 20шт), 100г",https://online.metro-cc.ru/products/rioba-chernyj-dlya-zavarivaniya-v-chajnike-anglijskij-zavtrak-20x5g,349 rub,429 rub,RIOBA
468918,"Чай Ahmad Tea Ceylon High Mountain черный листовой, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-ceylon-high-mountain-200g,299 rub,243 rub,AHMAD TEA
113204,"Чай Basilur Избранная классика Эрл Грей черный, 100г",https://online.metro-cc.ru/products/100g-chaj-basilur-izbrannaya-klassika-erl-grej,479 rub,449 rub,BASILUR
578788,"Чай Азерчай черный с ароматом бергамота (2г х 100шт), 200г",https://online.metro-cc.ru/products/art_578788,209 rub,189 rub,АЗЕРЧАЙ
204640,"Чай Richard черный апельсин-корица (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-richard-chyornyy-apelsin-koritsa-paketirovan,99 rub,69 rub,RICHARD
239420,"Чай черный Richman Ceylon Orange Pekoe листовой, 100г",https://online.metro-cc.ru/products/100g-chay-chyornyy-richman-ceylon-orange-pekoe-listovoy,169 rub,169 rub,RICHMAN
592281,"Чай Greenfield Sicilian Citrus черный с ароматом красного апельсина (1.8г х 20шт), 36г",https://online.metro-cc.ru/products/art_592281,164 rub,149 rub,GREENFIELD
395514,"Чай Майский Корона Российской Империи черный цейлонский крупнолистовой (2г х 100 шт), 200г",https://online.metro-cc.ru/products/majskij-chernyj-korona-rossijskoj-imperii-100-pak-395514,189 rub,189 rub,МАЙСКИЙ
204641,"Чай Richard черный персик-мята (1.7г x 25шт), 43г",https://online.metro-cc.ru/products/25h17g-chay-richard-chyornyy-persik-myata-paketirovannyy,99 rub,69 rub,RICHARD
407589,"RIOBA Чай черный Мятная свежесть (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-chernyj-myatnaya-svezhest-20x2g,239 rub,299 rub,RIOBA
494569,"Чай Tess Sunrise черный листовой, 200г",https://online.metro-cc.ru/products/tess-chernyj-sunrise-200g,329 rub,309 rub,TESS
455331,"Чай Akbar Classic Series черный пакетированный (2г х 100шт), 200г",https://online.metro-cc.ru/products/akbar-chernyj-klassicheskij-100h2g,229 rub,189 rub,AKBAR
121244,"Чай Richard Royal Kenya черный крупнолистовой, 180г",https://online.metro-cc.ru/products/180g-richard-royal-kenya,199 rub,299 rub,RICHARD
113203,"Чай Basilur Избранная классика Английский завтрак черный, 100г",https://online.metro-cc.ru/products/100g-chaj-basilur-izbran-klassika-angl-zavtrak,479 rub,449 rub,BASILUR
626080,"Чай Greenfield Меджик Юньнань черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/greenfield-medzhik-yunnan-chernyj-100-2g,359 rub,249 rub,GREENFIELD
468916,"Чай Ahmad Tea Earl Grey черный с ароматом бергамота (2г х 25 пак), 50г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-s-aromatom-bergamota-earl-grey-25-pak,139 rub,129 rub,AHMAD TEA
204644,"Чай Curtis черный Pleasure Time шиповник-яблоко-карамель (1.7г x 25шт), 38г",https://online.metro-cc.ru/products/25x17g-chay-curtis-chernyy-pleasure-time-shipyablkaramel,79 rub,79 rub,CURTIS
239371,"Чай черный Curtis Tender Moments пакетированный (1.5г x 25шт), 37.5г",https://online.metro-cc.ru/products/25shth15g-chay-chyornyy-curtis-tender-moments-paketirovannyy,79 rub,79 rub,CURTIS
239374,"Чай черный Curtis Tender Moments пакетированный (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/100shth15g-chay-chyornyy-curtis-tender-moments-paketirovannyy,259 rub,214 rub,CURTIS
239250,"Чай черный Richard Royal Bergamot-Flower листовой, 60г",https://online.metro-cc.ru/products/60g-chay-chyornyy-richard-royal-bergamotflower-listovoy,299 rub,519 rub,RICHARD
239375,"Чай черный Лисма крепкий пакетированный (2г x 100шт), 200г",https://online.metro-cc.ru/products/100shth2g-chay-chyornyy-lisma-krepkiy-paketirovannyy,129 rub,219 rub,ЛИСМА
207117,"Чай Riston Elite Ceylon черный листовой, 200г",https://online.metro-cc.ru/products/200g-chay-riston-elite-ceylon-chyornyy-listovoy,299 rub,259 rub,RISTON
239456,"Чай черный Befruitbe имбирь-карамель-грецкий орех, 115г",https://online.metro-cc.ru/products/chay-chernyy-befruitbe-imbir-karamel-gretskiy-oreh-115g,619 rub,579 rub,BEFRUITBE
225338,"Чай черный Richman английский завтрак, 40г",https://online.metro-cc.ru/products/40g-chay-chernyy-richman-angliyskiy-zavtrak,129 rub,139 rub,RICHMAN
239469,"Чай черный Befruitbe имбирь-апельсин-малина, 100г",https://online.metro-cc.ru/products/chay-chernyy-befruitbe-imbir-apelsin-malina-100g,619 rub,579 rub,BEFRUITBE
457294,"Чай Greenfield Kenyan Sunrise черный листовой, 200г",https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-200g,289 rub,188 rub,GREENFIELD
