id,name,link,amount,sale_amount,brand
229047,"Хлеб Harry's American Sandwich сэндвичный пшеничный в нарезке, 470г",https://online.metro-cc.ru/products/harry-039s-american-sandwich-pshenichnyj-470g,114,99,brand
127404,"Чиабатта рустик, 290г",https://online.metro-cc.ru/products/290g-chiabatta-rustik,129,129,brand
516945,"Тортильи Mission пшеничные 6шт по 20см, 250г",https://online.metro-cc.ru/products/tortilyi-pshenichnye-mission-250g,87,99,brand
127350,"Багет изысканный, 250г",https://online.metro-cc.ru/products/baget-izyskannyj-250g,89,89,brand
127417,"Половинка багета с чесноком, 155г",https://online.metro-cc.ru/products/155g-polovinka-bageta-s-chesnokom,109,109,brand
667929,"Тортилья Mission Лепешки гриль 6 шт по 20 см, 250г",https://online.metro-cc.ru/products/tortil-mission-lepeshki-gril-250-g,95,123,brand
211883,"Булочки для бургеров Bimbo с кунжутом, 240г",https://online.metro-cc.ru/products/240g-bulochka-bimbo-dlya-gamburgerov-iz-pshen-muki-s-kunzhut,113,89,brand
220871,"METRO Chef Лепешка мексиканская тортилья 23-25см (69г x 5шт), 345г",https://online.metro-cc.ru/products/5shtx69g-lepeshka-meksik-tortilya-metro-chef-23-25sm,107,89,brand
127410,"Чиабатта ржаная, 240г",https://online.metro-cc.ru/products/240gchiabatta-rzhanaya,82,69,brand
127405,"Багет трианон, 290г",https://online.metro-cc.ru/products/290g-baget-trianon,99,99,brand
127419,"Половинка ржаного багета с чесноком, 180г",https://online.metro-cc.ru/products/180g-polovinka-rzhanogo-bageta-s-chesnokom,140,140,brand
130432,"Хлеб FanFan Деревенский, 290г",https://online.metro-cc.ru/products/290g-fanfan-derevenskij,109,89,brand
127408,"Чиабатта с оливками, 270г",https://online.metro-cc.ru/products/270g-chiabatta-s-olivkami,149,149,brand
127354,"Чиабатта, 230г",https://online.metro-cc.ru/products/chiabatta-230g,139,139,brand
211874,Булочки для хот-догов Bimbo 200г,https://online.metro-cc.ru/products/200g-bulochka-bimbo-hot-dog,114,89,brand
220875,"METRO Chef Тортилья сырная 23-25см, 345г",https://online.metro-cc.ru/products/5x69g-tortilya-metro-chef-syrnaya-23-25sm,107,89,brand
130433,"Хлеб FanFan Фермерский, 335г",https://online.metro-cc.ru/products/335g-fanfan-fermerskij,139,109,brand
211884,"Булочки для бургеров Bimbo макси с кунжутом, 252г",https://online.metro-cc.ru/products/252g-bulochka-bimbo-dlya-gamburg-iz-pshenich-muki-maksi-kunzhut,97,69,brand
211875,"Лепешка Bimbo из пшеничной муки тортилья 8Д, 228г",https://online.metro-cc.ru/products/228g-lepeshka-bimbo-iz-pshenichnoy-muki-8-d-tortilya,106,89,brand
286184,"Хлеб Смак Бородинский нарезка, 350г",https://online.metro-cc.ru/products/borodinskij-smak-350g,45,40,brand
240846,"Лаваш Mission Деревенский, 270г",https://online.metro-cc.ru/products/lavash-mission-derevenskiy-90g-x-3sht,97,94,brand
221333,"Хлеб Смак бабушкин нарезной, 300г",https://online.metro-cc.ru/products/300g-hleb-smak-babushkin-nar-221333,53,45,brand
127420,"Половинка багета с чесноком, 180г",https://online.metro-cc.ru/products/180g-polovinka-bageta-s-chesnokom,140,140,brand
211885,"Лепешка Bimbo из пшеничной муки тортилья 10Д, 390г",https://online.metro-cc.ru/products/390g-lepeshka-bimbo-iz-pshenichnoy-muki-10-d-tortilya,139,109,brand
127353,"Багет трианон, 130г",https://online.metro-cc.ru/products/baget-trianon-130g,49,49,brand
203778,"Лаваш армянский, 435г",https://online.metro-cc.ru/products/435g-lavash-armyanskiy,67,61,brand
221336,"Хлеб Смак с семечками нарезной, 300г",https://online.metro-cc.ru/products/300g-hleb-smak-s-semechkami-nar-221336,55,51,brand
582358,"Хлеб Крестьянский Реж-хлеб в нарезке, 500г",https://online.metro-cc.ru/products/krestyanskij-rezh-v-narezke-500g,28,35,brand
582355,"Хлеб Реж-хлеб Бородинский, 600г",https://online.metro-cc.ru/products/borodinskij-rezh-600g,40,39,brand
235300,"Лаваш грузинский, 350г",https://online.metro-cc.ru/products/lavash-gruzinskiy-350g,49,42,brand
208992,Половинка багета Fanfan 95г,https://online.metro-cc.ru/products/95g-polovinka-bageta-fanfan,26,24,brand
126502,"Багет Трианон, 310г",https://online.metro-cc.ru/products/baget-trianon-310g,72,76,brand
225464,"Батон Реж-хлеб Российский, 300г",https://online.metro-cc.ru/products/300g-baton-rezh-hleb-rossiyskiy,41,37,brand
127349,"Багет пшеничный половинка, 125г",https://online.metro-cc.ru/products/polovinka-bageta-125g,50,50,brand
